F1
F2
F3
F4
F5
F6
F7
F8
F9
F10
F11
F11-Ctrl
+
–
,
.
[
]

Backspace
Del
Enter
Esc
Ins
PgDn
PgUp
Spacebar



J
K
N


Z
X
C
V


A
A-Ctrl
B
D
E
E-Ctrl
F
G
G-Shift
H
I
I-Alt
L
L-Ctrl
M
O
O-Shift
P
Q
R
R-Alt
R-Ctrl-Shift
R-Shift
S
S-Alt
S-Ctrl
T
U
W
Y
Y-Shift
